City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Mamallapuram,IN,12.6264,80.1722,80.06,82,43,12.15,scattered clouds
140,Akcaabat,TR,41.0212,39.5715,57.07,47,0,3.44,clear sky
141,Shakiso,ET,5.75,38.9167,61.57,52,78,4.43,broken clouds
142,Asau,RO,46.4333,26.4,41.95,85,100,3.87,overcast clouds
143,Aksu,CN,41.1231,80.2644,22.12,64,10,1.68,clear sky
144,Nome,US,64.5011,-165.4064,-7.53,59,1,9.22,clear sky
145,Ponta Do Sol,PT,32.6667,-17.1,71.13,73,52,0.87,broken clouds
146,Hurghada,EG,27.2574,33.8129,73.44,60,75,0.0,broken clouds
147,Taksimo,RU,56.3444,114.8794,-8.28,97,100,0.85,overcast clouds
148,Monrovia,LR,6.3005,-10.7969,87.57,73,93,11.07,overcast clouds
149,Victoria,HK,22.2855,114.1577,69.33,66,10,8.99,clear sky
150,Nemuro,JP,43.3236,145.575,41.99,70,68,29.04,broken clouds
151,Sorsk,RU,54.0033,90.2467,8.74,89,100,3.58,overcast clouds
152,Ostrovnoy,RU,68.0531,39.5131,29.97,90,100,18.81,light snow
153,Nikolskoye,RU,59.7035,30.7861,22.91,97,97,5.21,overcast clouds
154,Hambantota,LK,6.1241,81.1185,79.77,79,100,13.67,overcast clouds
155,Tura,IN,25.5198,90.2201,58.01,65,3,3.78,clear sky
156,Corinto,GR,37.9407,22.9573,61.68,79,5,6.11,clear sky
157,Port Lincoln,AU,-34.7333,135.8667,60.15,80,59,15.86,broken clouds
158,Pacific Grove,US,36.6177,-121.9166,49.62,76,90,1.01,overcast clouds
159,Mehamn,NO,71.0357,27.8492,30.38,93,75,12.66,light snow
160,Grand-Santi,GF,4.25,-54.3833,78.37,96,100,3.47,overcast clouds
161,Russell,US,32.3502,-85.1999,53.96,60,1,8.05,clear sky
162,Constitucion,CL,-35.3333,-72.4167,63.07,56,6,17.38,clear sky
163,Borogontsy,RU,62.6683,131.1683,-31.85,100,96,2.44,overcast clouds
164,Karasburg,NA,-28.0167,18.75,90.03,8,2,14.09,clear sky
165,Komsomolskiy,UZ,40.4272,71.7189,38.62,55,22,4.61,haze
166,Rafaela,AR,-31.2503,-61.4867,97.07,26,28,6.73,scattered clouds
167,Hereford,GB,52.0568,-2.7148,55.0,84,100,1.01,overcast clouds
168,Zapadnaya Dvina,RU,56.259,32.0745,34.02,98,100,9.13,light rain
169,Dukat,RU,62.55,155.55,-5.21,99,100,3.6,light snow
170,Okhotsk,RU,59.3833,143.3,-2.38,75,88,18.25,overcast clouds
171,Tessalit,ML,20.1986,1.0114,79.18,7,9,5.55,clear sky
172,San Patricio,US,28.017,-97.5169,57.07,35,0,6.78,clear sky
173,Santona,ES,43.4439,-3.4576,59.7,87,82,7.56,broken clouds
174,Dieppe,FR,49.75,1.1667,52.32,91,100,7.52,overcast clouds
175,Vostochnyy,RU,55.8167,37.8667,24.78,96,99,7.72,overcast clouds
176,Iquique,CL,-20.2208,-70.1431,69.84,75,51,5.53,broken clouds
177,Barrow,US,71.2906,-156.7887,-9.38,70,1,14.97,clear sky
178,Talnakh,RU,69.4865,88.3972,-23.8,89,100,1.77,overcast clouds
179,Poum,NC,-20.2333,164.0167,77.85,83,100,15.46,light rain
180,Bethel,US,41.3712,-73.414,46.18,45,1,3.0,clear sky
181,Moron De La Frontera,ES,37.1208,-5.454,69.87,35,0,3.44,clear sky
182,Grand Gaube,MU,-20.0064,57.6608,79.2,67,100,7.0,overcast clouds
183,Koshurnikovo,RU,54.1667,93.3,16.07,97,100,2.17,snow
184,Aden,YE,12.7794,45.0367,79.48,64,0,15.01,clear sky
185,Grindavik,IS,63.8424,-22.4338,41.47,87,75,23.02,broken clouds
186,Bengkulu,ID,-3.8004,102.2655,75.85,91,94,3.98,moderate rain
187,Airai,TL,-8.9266,125.4092,61.36,92,71,0.98,broken clouds
188,Kahului,US,20.8947,-156.47,71.62,90,1,12.66,clear sky
189,Maxixe,MZ,-23.8597,35.3472,79.68,87,22,13.6,few clouds
190,Yurty,RU,56.0498,97.6348,13.59,91,100,7.78,overcast clouds
191,Davila,PH,18.4726,120.5763,75.69,76,71,22.53,broken clouds
192,Tamandare,BR,-8.7597,-35.1047,85.19,59,6,10.56,clear sky
193,Castro,BR,-24.7911,-50.0119,86.18,28,89,6.33,overcast clouds
194,Niteroi,BR,-22.8833,-43.1036,98.22,52,0,3.44,clear sky
195,Paita,PE,-5.0892,-81.1144,81.16,72,32,9.33,scattered clouds
196,Syamzha,RU,60.0158,41.0614,13.12,93,29,7.56,scattered clouds
197,Luba,GQ,3.4568,8.5547,82.18,79,100,7.38,overcast clouds
198,Meulaboh,ID,4.1363,96.1285,77.11,90,94,4.85,overcast clouds
199,Yulara,AU,-25.2406,130.9889,69.64,78,90,4.61,light rain
200,Zonguldak,TR,41.25,31.8333,48.88,66,8,0.56,clear sky
201,Soanierana Ivongo,MG,-16.9167,49.5833,75.54,86,20,5.57,light rain
202,Vanimo,PG,-2.6741,141.3028,79.07,90,100,9.42,overcast clouds
203,Basco,PH,20.4487,121.9702,76.06,65,43,22.06,scattered clouds
204,Avesta,SE,60.1455,16.1679,30.92,99,100,2.68,overcast clouds
205,Canala,NC,-21.5333,165.95,82.89,84,100,4.85,overcast clouds
206,Santa Cruz,BO,-17.8,-63.1667,75.25,88,90,12.66,moderate rain
207,Saint George,US,37.1041,-113.5841,50.54,80,1,0.0,clear sky
208,Sao Filipe,CV,14.8961,-24.4956,76.03,68,32,12.03,scattered clouds
209,College,US,64.8569,-147.8028,-5.8,69,90,0.0,light snow
210,Lagoa,PT,39.05,-27.9833,55.99,62,99,30.11,overcast clouds
211,Charters Towers,AU,-20.1,146.2667,75.33,79,11,8.61,few clouds
212,Chengde,CN,40.9725,117.9361,20.28,38,0,3.2,clear sky
213,Suluq,LY,31.6682,20.2521,59.59,59,29,9.33,scattered clouds
214,Hobyo,SO,5.3505,48.5268,79.27,78,62,18.61,broken clouds
215,Ambon,ID,-3.6954,128.1814,82.06,80,99,5.17,overcast clouds
216,Novo Aripuana,BR,-5.1206,-60.3797,79.34,91,98,3.51,overcast clouds
217,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,31.93,71,67,15.21,broken clouds
218,Manta,EC,-0.95,-80.7333,74.98,94,90,3.44,light rain
219,Karratha,AU,-20.7377,116.8463,91.8,21,2,14.38,clear sky
220,Anadyr,RU,64.75,177.4833,-32.3,75,33,15.66,mist
221,Vila Velha,BR,-20.3297,-40.2925,91.35,63,40,11.99,scattered clouds
222,Buala,SB,-8.145,159.5921,80.62,84,100,7.58,light rain
223,Arlit,NE,18.7369,7.3853,77.65,6,22,6.46,few clouds
224,Puerto Princesa,PH,9.7392,118.7353,79.5,85,67,8.01,broken clouds
225,Taoudenni,ML,22.6783,-3.9836,79.41,9,53,10.02,broken clouds
