City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Manokwari,ID,2021-12-09 21:47:58,-0.8667,134.0833,80.15,75,97,1.66
101,Mahebourg,MU,2021-12-09 21:47:58,-20.4081,57.7,73.69,88,75,10.36
102,Vila Franca Do Campo,PT,2021-12-09 21:47:59,37.7167,-25.4333,59.2,69,38,0.81
103,Cururupu,BR,2021-12-09 21:47:59,-1.8283,-44.8683,77.99,87,73,3.56
104,Victor Harbor,AU,2021-12-09 21:48:00,-35.5667,138.6167,60.89,70,48,12.44
105,Birao,CF,2021-12-09 21:48:00,10.2849,22.7882,69.04,24,5,5.91
106,Bethel,US,2021-12-09 21:48:00,41.3712,-73.414,36.05,64,75,0.0
107,Carnarvon,AU,2021-12-09 21:48:01,-24.8667,113.6333,69.87,78,40,14.97
108,Santiago,CL,2021-12-09 21:47:33,-33.4569,-70.6483,83.86,34,0,10.36
109,Mecca,SA,2021-12-09 21:48:01,21.4267,39.8261,71.51,68,49,1.81
110,Bandarbeyla,SO,2021-12-09 21:48:01,9.4942,50.8122,77.43,64,29,20.15
111,Chokurdakh,RU,2021-12-09 21:48:02,70.6333,147.9167,-47.4,100,79,3.53
112,Hamilton,US,2021-12-09 21:48:02,39.1834,-84.5333,56.25,49,1,1.01
113,Hobart,AU,2021-12-09 21:48:02,-42.8794,147.3294,57.25,75,75,1.01
114,Yanacancha,PE,2021-12-09 21:48:03,-10.2411,-76.6456,50.94,72,100,3.29
115,Lagoa,PT,2021-12-09 21:48:03,39.05,-27.9833,62.76,60,99,8.12
116,Waterloo,CA,2021-12-09 21:43:18,43.4668,-80.5164,29.08,80,90,16.11
117,Avera,US,2021-12-09 21:48:04,33.194,-82.5271,53.26,66,100,5.68
118,Hasaki,JP,2021-12-09 21:48:04,35.7333,140.8333,41.4,67,100,16.28
119,Naze,JP,2021-12-09 21:48:04,28.3667,129.4833,58.12,59,93,4.9
120,Plettenberg Bay,ZA,2021-12-09 21:48:05,-34.0527,23.3716,65.43,97,100,6.46
121,Sorong,ID,2021-12-09 21:48:05,-0.8833,131.25,81.18,80,100,4.16
122,Shimoda,JP,2021-12-09 21:48:05,34.6667,138.95,46.11,76,93,12.46
123,Bodri,IN,2021-12-09 21:48:06,23.1667,81.4333,58.05,74,19,4.43
124,Corinto,GR,2021-12-09 21:48:06,37.9407,22.9573,64.63,73,3,12.17
125,Cidreira,BR,2021-12-09 21:48:07,-30.1811,-50.2056,68.22,69,10,11.34
126,Hualmay,PE,2021-12-09 21:48:07,-11.0964,-77.6139,69.1,78,87,8.79
127,Chuy,UY,2021-12-09 21:48:07,-33.6971,-53.4616,66.56,76,28,12.71
128,Faanui,PF,2021-12-09 21:48:08,-16.4833,-151.75,81.12,68,43,11.83
129,Henties Bay,NA,2021-12-09 21:48:08,-22.116,14.2845,59.86,91,5,3.06
130,Samarinda,ID,2021-12-09 21:47:51,-0.5,117.15,73.67,99,100,2.77
131,Pilot Butte,CA,2021-12-09 21:48:09,50.4668,-104.4178,26.65,71,20,12.66
132,Hermanus,ZA,2021-12-09 21:49:09,-34.4187,19.2345,68.9,88,100,14.09
133,Devrek,TR,2021-12-09 21:49:09,41.2192,31.9558,47.1,74,3,6.38
134,Nicoya,CR,2021-12-09 21:49:10,10.1483,-85.452,89.15,63,6,12.73
135,Monrovia,LR,2021-12-09 21:49:10,6.3005,-10.7969,78.57,82,34,8.16
136,Adrar,MR,2021-12-09 21:49:10,20.5022,-10.0711,64.74,14,100,11.68
137,Vanderhoof,CA,2021-12-09 21:45:16,54.0166,-124.0198,31.14,61,77,10.63
138,Yelyzavethradka,UA,2021-12-09 21:49:11,48.8038,32.4046,42.93,96,100,6.06
139,Grants Pass,US,2021-12-09 21:49:11,42.439,-123.3284,46.9,72,75,0.0
140,Hadrut,AZ,2021-12-09 21:49:12,39.52,47.0318,47.46,58,100,1.88
141,The Valley,AI,2021-12-09 21:49:12,18.217,-63.0578,80.74,74,40,13.8
142,San Patricio,US,2021-12-09 21:49:12,28.017,-97.5169,90.01,53,34,13.47
143,Benjamin Constant,BR,2021-12-09 21:49:13,-4.3831,-70.0311,78.85,83,75,4.61
144,Den Helder,NL,2021-12-09 21:49:13,52.9599,4.7593,41.99,94,75,11.99
145,Roald,NO,2021-12-09 21:49:13,62.5833,6.1333,39.34,56,0,16.11
146,Necochea,AR,2021-12-09 21:49:14,-38.5473,-58.7368,64.04,56,100,13.8
147,Geraldton,AU,2021-12-09 21:49:14,-28.7667,114.6,70.21,68,90,6.91
148,East London,ZA,2021-12-09 21:48:31,-33.0153,27.9116,68.77,83,78,5.68
149,Pachino,IT,2021-12-09 21:49:14,36.7186,15.0907,48.24,66,65,23.64
150,Dongsheng,CN,2021-12-09 21:49:15,39.8161,109.9776,28.74,48,99,1.7
151,North Platte,US,2021-12-09 21:49:15,41.1239,-100.7654,53.49,36,1,7.0
152,Nome,US,2021-12-09 21:49:16,64.5011,-165.4064,12.27,67,90,13.8
153,Waipawa,NZ,2021-12-09 21:49:16,-41.4122,175.5153,61.45,77,65,6.93
154,Nemuro,JP,2021-12-09 21:49:16,43.3236,145.575,39.25,71,4,7.4
155,Qostanay,KZ,2021-12-09 21:49:16,53.1667,63.5833,1.69,85,0,4.47
156,Maragogi,BR,2021-12-09 21:49:17,-9.0122,-35.2225,80.37,78,15,11.36
157,Paamiut,GL,2021-12-09 21:49:17,61.994,-49.6678,25.45,92,100,11.39
158,San Ramon,US,2021-12-09 21:49:18,37.7799,-121.978,58.3,66,90,1.99
159,Klaksvik,FO,2021-12-09 21:49:18,62.2266,-6.589,40.12,74,100,25.03
160,Ambon,ID,2021-12-09 21:49:18,-3.6954,128.1814,75.34,100,40,10.36
161,Sibolga,ID,2021-12-09 21:49:18,1.7427,98.7792,76.14,92,100,2.13
162,Marystown,CA,2021-12-09 21:49:19,47.1666,-55.1483,29.86,100,100,13.0
163,Ridgecrest,US,2021-12-09 21:49:19,35.6225,-117.6709,57.06,41,75,11.01
164,Abu Samrah,SY,2021-12-09 21:49:19,35.3029,37.1841,51.17,82,0,1.99
165,Dikson,RU,2021-12-09 21:49:20,73.5069,80.5464,-24.79,99,19,4.97
166,Saint-Pierre,RE,2021-12-09 21:49:20,-21.3393,55.4781,76.64,81,0,5.75
167,Saint George,US,2021-12-09 21:49:21,37.1041,-113.5841,48.63,89,90,1.01
168,Guerrero Negro,MX,2021-12-09 21:49:21,27.9769,-114.0611,65.07,68,99,7.52
