City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Dingle,PH,75.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
288,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
294,Bartica,GY,79.12,light rain,6.4,-58.6167,Sloth Island Nature Resort
295,Chuy,UY,81.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
299,Ilhabela,BR,79.68,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
307,Daru,PG,77.2,light rain,-9.0763,143.2092,Daru Lodge
312,Inirida,CO,85.28,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
316,Bairiki,KI,81.55,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
318,Biak,ID,77.9,overcast clouds,-0.9131,122.8766,Penginapan Kim
327,Lalupon,NG,88.32,broken clouds,7.4667,4.0667,BSB HOTELS
329,Sinnamary,GF,78.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
332,Sechura,PE,76.15,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
348,Yanam,IN,79.2,light rain,16.7333,82.2167,The Regency Hotel
354,Kavieng,PG,81.97,light rain,-2.5744,150.7967,Nusa Island Retreat
358,Am Timan,TD,86.16,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
360,Lazaro Cardenas,MX,83.5,broken clouds,17.9583,-102.2,quinta antigua
361,Kilindoni,TZ,80.28,broken clouds,-7.9139,39.6668,Bustani B&B
362,Sulangan,PH,80.62,broken clouds,11.1373,123.7228,Maia's Beach Resort
364,Carutapera,BR,89.15,scattered clouds,-1.195,-46.02,Lidera
383,Kavaratti,IN,82.15,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
384,Porteirinha,BR,81.77,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
392,Lucero,PH,80.53,broken clouds,16.4051,119.9124,Sundowners Vacation Villas
395,Victor Harbor,AU,77.47,broken clouds,-35.5667,138.6167,McCracken Country Club
396,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
398,San Vicente,AR,79.5,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
402,San Miguel,SV,83.8,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
